instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V500_6.txt,10,100,500,branchBound,415,0.000011,N/A
inst_N10_W100_V500_7.txt,10,100,500,dynamicProg,354,0.046168,N/A
inst_N10_W100_V500_7.txt,10,100,500,backtracking,354,0.000140,1231
inst_N10_W100_V500_7.txt,10,100,500,branchBound,354,0.000003,N/A
inst_N10_W100_V500_8.txt,10,100,500,dynamicProg,461,0.048586,N/A
inst_N10_W100_V500_8.txt,10,100,500,backtracking,461,0.000221,1631
inst_N10_W100_V500_8.txt,10,100,500,branchBound,459,0.000019,N/A
inst_N10_W100_V500_9.txt,10,100,500,dynamicProg,296,0.057968,N/A
inst_N10_W100_V500_9.txt,10,100,500,backtracking,296,0.000147,1283
inst_N10_W100_V500_9.txt,10,100,500,branchBound,296,0.000019,N/A
inst_N10_W100_V50_0.txt,10,100,50,dynamicProg,520,0.008970,N/A
inst_N10_W100_V50_0.txt,10,100,50,backtracking,520,0.000198,1899
inst_N10_W100_V50_0.txt,10,100,50,branchBound,520,0.000015,N/A
inst_N10_W100_V50_1.txt,10,100,50,dynamicProg,365,0.009490,N/A
inst_N10_W100_V50_1.txt,10,100,50,backtracking,365,0.000275,1837
inst_N10_W100_V50_1.txt,10,100,50,branchBound,365,0.000033,N/A
inst_N10_W100_V50_2.txt,10,100,50,dynamicProg,474,0.009964,N/A
inst_N10_W100_V50_2.txt,10,100,50,backtracking,474,0.000231,1699
inst_N10_W100_V50_2.txt,10,100,50,branchBound,474,0.000011,N/A
inst_N10_W100_V50_3.txt,10,100,50,dynamicProg,547,0.009344,N/A
inst_N10_W100_V50_3.txt,10,100,50,backtracking,547,0.000249,1973
inst_N10_W100_V50_3.txt,10,100,50,branchBound,547,0.000013,N/A
inst_N10_W100_V50_4.txt,10,100,50,dynamicProg,253,0.008591,N/A
inst_N10_W100_V50_4.txt,10,100,50,backtracking,253,0.000160,1313
inst_N10_W100_V50_4.txt,10,100,50,branchBound,253,0.000003,N/A
inst_N10_W100_V50_5.txt,10,100,50,dynamicProg,353,0.010129,N/A
inst_N10_W100_V50_5.txt,10,100,50,backtracking,353,0.000203,1715
inst_N10_W100_V50_5.txt,10,100,50,branchBound,353,0.000008,N/A
inst_N10_W100_V50_6.txt,10,100,50,dynamicProg,323,0.008756,N/A
inst_N10_W100_V50_6.txt,10,100,50,backtracking,323,0.000139,1155
inst_N10_W100_V50_6.txt,10,100,50,branchBound,323,0.000017,N/A
inst_N10_W100_V50_7.txt,10,100,50,dynamicProg,385,0.010121,N/A
inst_N10_W100_V50_7.txt,10,100,50,backtracking,385,0.000154,1333
inst_N10_W100_V50_7.txt,10,100,50,branchBound,385,0.000011,N/A
inst_N10_W100_V50_8.txt,10,100,50,dynamicProg,422,0.008127,N/A
inst_N10_W100_V50_8.txt,10,100,50,backtracking,422,0.000292,1665
inst_N10_W100_V50_8.txt,10,100,50,branchBound,422,0.000013,N/A
inst_N10_W100_V50_9.txt,10,100,50,dynamicProg,320,0.008134,N/A
